work_order_id,component_number,equipment_number,component_category,comment,users,created_at,scheduled_start_date,scheduled_completion_date,started_at,estimated_hours,actual_hours,finished_at,actual_start_date,status,priority,was_planned_maintenance,did_require_shutdown,activity_type
3003419,PV1-1123-TRH0403-ENG,403,ENGINE HAULTRUCK CATERPILLAR 789C 403,CORRECTION FAILS LOW ENGINE POWER.,37470,02-Jan-16,02-Jan-16,02-Jan-16,01-02-16 13:37,4,4,02-Jan-16,02-Jan-16,Closed,0 - Immediate,N,Required,RP-Repair
3003486,PV1-1123-TRH0403-HYS-SS,403,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,CORRECTION LEAK PUMP FOR SUCTION PIPE OF STEERING PUMP.,37470,02-Jan-16,02-Jan-16,02-Jan-16,01-02-16 17:09,1,1,02-Jan-16,02-Jan-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3003822,PV1-1123-TRH0403-HYS-SS,403,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,CHANGE STEERING PUMP SECTION PIPE.,37470,03-Jan-16,03-Jan-16,03-Jan-16,01-03-16 6:21,4,NULL,03-Jan-16,03-Jan-16,Closed,3 - Due less than 30 days,N,Required,RP-Repair
3009017,PV1-1123-TRH0403-IMP-BED,403,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789C 403,Mounting safety cable support on the back of the hopper,28726,06-Jan-16,09-Feb-16,09-Feb-16,02-09-16 15:51,2,2,09-Feb-16,09-Feb-16,Closed,3 - Due less than 30 days,Y,Required,RP-Repair
3009789,PV1-1123-TRH0403,403,HAULTRUCK CATERPILLAR 789C 403,Install truck number on the sides of the hopper.,31314,06-Jan-16,19-Jul-16,19-Jul-16,7/19/2016 6:15,2,3,19-Jul-16,19-Jul-16,Closed,2 - Due less than 14 days,N,Not Required,MO-Modify
3010847,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,"INSPECTION A / C IN INSP. 1,000 HRS",30796,07-Jan-16,15-Jan-16,15-Jan-16,1/15/2016 8:00,1,2,15-Jan-16,15-Jan-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3010886,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION OF TIRES IN PREVENTIVE MAINTENANCE,36886,07-Jan-16,15-Jan-16,15-Jan-16,1/15/2016 7:00,2,1,14-Jan-16,14-Jan-16,Closed,3 - Due less than 30 days,Y,Required,IN-Inspection
3010929,PV1-1123-TRH0403-FIRE,403,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 403,AFEX FIRE SYSTEM INSPECTION (PM 1000 HRS),30796,07-Jan-16,15-Jan-16,15-Jan-16,1/15/2016 9:00,2,2,15-Jan-16,15-Jan-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3012897,PV1-1123-TRH0403-HYS-SS,403,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,PERFORM ALIGNMENT OF FRONT RIMS.,37470,09-Jan-16,09-Jan-16,09-Jan-16,01-09-16 12:54,4,4,09-Jan-16,09-Jan-16,Closed,1 - Due less than 7 days,N,Required,RP-Repair
3020119,PV1-1123-TRH0403-IMP-BED,403,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789C 403,Repair of the upper side of the right hopper,28726,14-Jan-16,31-Mar-16,31-Mar-16,3/31/2016 8:00,14,NULL,03-Mar-16,03-Mar-16,Closed,3 - Due less than 30 days,Y,Required,RP-Repair
3022057,PV1-1123-TRH0403-IMP-BED,403,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSTALL BASE FOR THE HOPPER CABLE,37470,16-Jan-16,16-Jan-16,16-Jan-16,1/16/2016 12:36,2,2,16-Jan-16,16-Jan-16,Closed,1 - Due less than 7 days,N,Required,MO-Modify
3022107,PV1-1123-TRH0403,403,HAULTRUCK CATERPILLAR 789C 403,Install support base to left fender,28726,16-Jan-16,04-Jun-16,04-Jun-16,06-04-16 8:00,4,4,12-Apr-16,12-Apr-16,Closed,3 - Due less than 30 days,Y,Required,MO-Modify
3026600,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,INSPECTION A / C IN INSP. 250 HRS,30796,20-Jan-16,26-Jan-16,26-Jan-16,1/26/2016 15:00,1,2,26-Jan-16,26-Jan-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
3026703,PV1-1123-TRH0403-FIRE,403,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 403,AFEX FIRE SYSTEM INSPECTION (PM 250 HRS),30796,20-Jan-16,26-Jan-16,26-Jan-16,1/26/2016 14:00,2,2,26-Jan-16,26-Jan-16,Closed,3 - Due less than 30 days,N,Required,IN-Inspection
